> sid: 0, rid: 7, gid: 0, cap: 25, size: 5
> sid: 1, rid: 7, gid: 1, cap: 15, size: 3
> sid: 2, rid: 7, gid: 2, cap: 10, size: 2
> sid: 3, rid: 7, gid: 3, cap: 20, size: 4
> sid: 4, rid: 7, gid: 4, cap: 10, size: 2
> sid: 5, rid: 7, gid: 5, cap: 25, size: 5
> sid: 6, rid: 7, gid: 6, cap: 10, size: 2
> sid: 7, rid: 7, gid: 7, cap: 20, size: 4
> sid: 8, rid: 7, gid: 8, cap: 15, size: 3
> sid: 9, rid: 7, gid: 9, cap: 15, size: 3
> sid: 10, rid: 7, gid: 10, cap: 15, size: 3
> sid: 11, rid: 7, gid: 11, cap: 5, size: 1
> sid: 12, rid: 7, gid: 12, cap: 5, size: 1
> sid: 13, rid: 7, gid: 13, cap: 10, size: 2
> sid: 14, rid: 7, gid: 14, cap: 20, size: 4
> sid: 15, rid: 7, gid: 15, cap: 5, size: 1
> sid: 16, rid: 7, gid: 16, cap: 5, size: 1
> sid: 17, rid: 7, gid: 17, cap: 10, size: 2
> sid: 18, rid: 7, gid: 18, cap: 15, size: 3
> sid: 19, rid: 7, gid: 19, cap: 25, size: 5
> sid: 20, rid: 7, gid: 20, cap: 10, size: 2
> sid: 21, rid: 7, gid: 21, cap: 20, size: 4
> sid: 22, rid: 7, gid: 22, cap: 20, size: 4
> sid: 23, rid: 7, gid: 23, cap: 10, size: 2
> sid: 24, rid: 7, gid: 24, cap: 25, size: 5
> sid: 25, rid: 7, gid: 25, cap: 5, size: 1
> sid: 26, rid: 7, gid: 26, cap: 15, size: 3
> sid: 27, rid: 7, gid: 27, cap: 10, size: 2
> sid: 28, rid: 7, gid: 28, cap: 25, size: 5
> sid: 29, rid: 7, gid: 29, cap: 10, size: 2
> sid: 30, rid: 7, gid: 30, cap: 15, size: 3
> sid: 31, rid: 7, gid: 31, cap: 25, size: 5
> sid: 32, rid: 7, gid: 32, cap: 18, size: 3
> sid: 33, rid: 7, gid: 33, cap: 6, size: 1
> sid: 34, rid: 2, gid: 0, cap: 18, size: 3
> sid: 35, rid: 2, gid: 1, cap: 24, size: 4
> sid: 36, rid: 2, gid: 2, cap: 30, size: 5
> sid: 37, rid: 2, gid: 3, cap: 18, size: 3
> sid: 38, rid: 2, gid: 4, cap: 18, size: 3
> sid: 39, rid: 2, gid: 5, cap: 12, size: 2
> sid: 40, rid: 7, gid: 34, cap: 6, size: 1
> sid: 41, rid: 2, gid: 6, cap: 30, size: 5
> sid: 42, rid: 2, gid: 7, cap: 24, size: 4
> sid: 43, rid: 2, gid: 8, cap: 30, size: 5
> sid: 44, rid: 2, gid: 9, cap: 6, size: 1
> sid: 45, rid: 2, gid: 10, cap: 6, size: 1
> sid: 46, rid: 2, gid: 11, cap: 12, size: 2
> sid: 47, rid: 2, gid: 12, cap: 6, size: 1
> sid: 48, rid: 2, gid: 13, cap: 24, size: 4
> sid: 49, rid: 2, gid: 14, cap: 12, size: 2
> sid: 50, rid: 2, gid: 15, cap: 30, size: 5
> sid: 51, rid: 2, gid: 16, cap: 24, size: 4
> sid: 52, rid: 2, gid: 17, cap: 24, size: 4
> sid: 53, rid: 2, gid: 18, cap: 30, size: 5
